Nr. ,Name ,Wahlbe rechtigte,abgegeb. Stimmen,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,BZÖ Stimmen,BZÖ Ant. %,KPÖ Stimmen,KPÖ Ant. %,MATIN Stimmen,MATIN Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum
40618,St.Oswald bei Freistadt       ,2008,1700,84.659999999999997,34,2,1666,98,662,39.740000000000002,651,39.079999999999998,170,10.199999999999999,96,5.7599999999999998,39,2.3399999999999999,9,0.54000000000000004,39,2.3399999999999999,1-10-06,4:22:48 PM,1-10-06,4:22:48 PM
40619,Schönau im Mühlkreis          ,1417,1231,86.870000000000005,21,1.71,1210,98.290000000000006,634,52.399999999999999,340,28.100000000000001,117,9.6699999999999999,57,4.71,30,2.48,6,0.5,26,2.1499999999999999,1-10-06,4:43:19 PM,1-10-06,4:43:19 PM
40620,Tragwein                      ,2292,2045,89.219999999999999,34,1.6599999999999999,2011,98.340000000000003,847,42.119999999999997,828,41.170000000000002,122,6.0700000000000003,149,7.4100000000000001,16,0.80000000000000004,14,0.69999999999999996,35,1.74,1-10-06,3:47:29 PM,1-10-06,3:47:29 PM
40621,Unterweißenbach               ,1792,1501,83.760000000000005,55,3.6600000000000001,1446,96.340000000000003,772,53.390000000000001,405,28.010000000000002,109,7.54,78,5.3899999999999997,46,3.1800000000000002,7,0.47999999999999998,29,2.0099999999999998,1-10-06,5:56:37 PM,1-10-06,5:56:37 PM
40622,Unterweitersdorf              ,1393,1234,88.590000000000003,28,2.27,1206,97.730000000000004,416,34.490000000000002,487,40.380000000000003,102,8.4600000000000009,137,11.359999999999999,24,1.99,6,0.5,34,2.8199999999999998,1-10-06,5:58:25 PM,1-10-06,5:58:25 PM
40623,Waldburg                      ,1046,881,84.230000000000004,22,2.5,859,97.5,379,44.119999999999997,260,30.27,96,11.18,79,9.1999999999999993,14,1.6299999999999999,7,0.81000000000000005,24,2.79,1-10-06,4:15:54 PM,1-10-06,4:15:54 PM
40624,Wartberg ob der Aist          ,2989,2539,84.939999999999998,78,3.0699999999999998,2461,96.930000000000007,720,29.260000000000002,1096,44.530000000000001,246,10,244,9.9100000000000001,60,2.4399999999999999,33,1.3400000000000001,62,2.52,1-10-06,5:54:00 PM,1-10-06,5:54:00 PM
40625,Weitersfelden                 ,856,723,84.459999999999994,12,1.6599999999999999,711,98.340000000000003,411,57.810000000000002,185,26.02,44,6.1900000000000004,41,5.7699999999999996,11,1.55,6,0.83999999999999997,13,1.8300000000000001,1-10-06,3:21:36 PM,1-10-06,3:21:36 PM
40626,Windhaag bei Freistadt        ,1264,1077,85.209999999999994,36,3.3399999999999999,1041,96.659999999999997,545,52.350000000000001,278,26.710000000000001,103,9.8900000000000006,65,6.2400000000000002,12,1.1499999999999999,16,1.54,22,2.1099999999999999,1-10-06,3:22:16 PM,1-10-06,3:22:16 PM
40627,Bad Zell                      ,2063,1744,84.540000000000006,43,2.4700000000000002,1701,97.530000000000001,776,45.619999999999997,422,24.809999999999999,166,9.7599999999999998,226,13.289999999999999,54,3.1699999999999999,13,0.76000000000000001,44,2.5899999999999999,1-10-06,2:49:56 PM,1-10-06,2:49:56 PM
40700,Bezirk Gmunden                       ,75791,58878,77.680000000000007,1627,2.7599999999999998,57251,97.239999999999995,17960,31.370000000000001,23009,40.189999999999998,6572,11.48,5692,9.9399999999999995,1505,2.6299999999999999,569,0.98999999999999999,1944,3.3999999999999999,1-10-06,6:28:30 PM,2-10-06,7:25:12 AM
40701,Altmünster                    ,7435,5815,78.209999999999994,176,3.0299999999999998,5639,96.969999999999999,2023,35.880000000000003,1977,35.060000000000002,572,10.140000000000001,650,11.529999999999999,180,3.1899999999999999,43,0.76000000000000001,194,3.4399999999999999,1-10-06,6:25:55 PM,1-10-06,10:47:06 PM
40702,Bad Goisern                   ,5739,4462,77.75,134,3,4328,97,866,20.010000000000002,2235,51.640000000000001,511,11.81,324,7.4900000000000002,154,3.5600000000000001,74,1.71,164,3.79,1-10-06,5:38:33 PM,1-10-06,5:38:33 PM
40703,Bad Ischl                     ,10761,7695,71.510000000000005,199,2.5899999999999999,7496,97.409999999999997,2277,30.379999999999999,2713,36.189999999999998,1019,13.59,891,11.890000000000001,247,3.2999999999999998,106,1.4099999999999999,243,3.2400000000000002,1-10-06,5:01:42 PM,2-10-06,0:22:38 AM
40704,Ebensee                       ,6556,5172,78.890000000000001,143,2.7599999999999998,5029,97.239999999999995,1135,22.57,2695,53.590000000000003,431,8.5700000000000003,441,8.7699999999999996,90,1.79,50,0.98999999999999999,187,3.7200000000000002,1-10-06,5:39:30 PM,1-10-06,5:39:30 PM
40705,Gmunden                       ,10046,7488,74.540000000000006,185,2.4700000000000002,7303,97.530000000000001,2689,36.82,2271,31.100000000000001,870,11.91,991,13.57,215,2.9399999999999999,56,0.77000000000000002,211,2.8900000000000001,1-10-06,6:26:54 PM,1-10-06,6:26:54 PM
40706,Gosau                         ,1502,1200,79.890000000000001,15,1.25,1185,98.75,332,28.02,640,54.009999999999998,83,7,50,4.2199999999999998,33,2.7799999999999998,7,0.58999999999999997,40,3.3799999999999999,1-10-06,4:56:27 PM,1-10-06,4:56:27 PM
40707,Grünau im Almtal              ,1621,1323,81.620000000000005,39,2.9500000000000002,1284,97.049999999999997,473,36.840000000000003,467,36.369999999999997,167,13.01,106,8.2599999999999998,21,1.6399999999999999,8,0.62,42,3.27,1-10-06,4:41:47 PM,1-10-06,4:41:47 PM
40708,Gschwandt                     ,1872,1552,82.909999999999997,46,2.96,1506,97.040000000000006,621,41.240000000000002,469,31.140000000000001,169,11.220000000000001,169,11.220000000000001,25,1.6599999999999999,14,0.93000000000000005,39,2.5899999999999999,1-10-06,4:21:38 PM,1-10-06,4:21:38 PM
40709,Hallstatt                     ,732,586,80.049999999999997,17,2.8999999999999999,569,97.099999999999994,105,18.449999999999999,334,58.700000000000003,22,3.8700000000000001,56,9.8399999999999999,20,3.5099999999999998,18,3.1600000000000001,14,2.46,1-10-06,4:37:18 PM,1-10-06,4:37:18 PM
40710,Kirchham                      ,1440,1142,79.310000000000002,35,3.0600000000000001,1107,96.939999999999998,562,50.770000000000003,225,20.329999999999998,148,13.369999999999999,95,8.5800000000000001,33,2.98,6,0.54000000000000004,38,3.4300000000000002,1-10-06,4:21:09 PM,1-10-06,4:21:09 PM
40711,Laakirchen                    ,6681,5304,79.390000000000001,144,2.71,5160,97.290000000000006,1245,24.129999999999999,2601,50.409999999999997,549,10.640000000000001,419,8.1199999999999992,123,2.3799999999999999,55,1.0700000000000001,168,3.2599999999999998,1-10-06,4:26:26 PM,1-10-06,10:19:41 PM
40712,Obertraun                     ,586,483,82.420000000000002,20,4.1399999999999997,463,95.859999999999999,107,23.109999999999999,274,59.18,26,5.6200000000000001,23,4.9699999999999998,6,1.3,10,2.1600000000000001,17,3.6699999999999999,1-10-06,5:41:00 PM,1-10-06,5:41:00 PM
40713,Ohlsdorf                      ,3588,2895,80.689999999999998,67,2.3100000000000001,2828,97.689999999999998,886,31.329999999999998,1150,40.659999999999997,325,11.49,283,10.01,65,2.2999999999999998,16,0.56999999999999995,103,3.6400000000000001,1-10-06,5:42:54 PM,1-10-06,5:42:54 PM
40714,Pinsdorf                      ,2708,2133,78.769999999999996,49,2.2999999999999998,2084,97.700000000000003,546,26.199999999999999,945,45.350000000000001,257,12.33,186,8.9299999999999997,50,2.3999999999999999,19,0.91000000000000003,81,3.8900000000000001,1-10-06,4:06:04 PM,1-10-06,4:06:04 PM
40715,Roitham                       ,1499,1245,83.060000000000002,54,4.3399999999999999,1191,95.659999999999997,433,36.359999999999999,415,34.840000000000003,159,13.35,99,8.3100000000000005,21,1.76,13,1.0900000000000001,51,4.2800000000000002,1-10-06,4:20:39 PM,1-10-06,4:20:39 PM
40716,St.Konrad                     ,801,671,83.769999999999996,19,2.8300000000000001,652,97.170000000000002,284,43.560000000000002,211,32.359999999999999,73,11.199999999999999,44,6.75,8,1.23,11,1.6899999999999999,21,3.2200000000000002,1-10-06,2:11:29 PM,1-10-06,11:47:40 PM
40717,St.Wolfgang im Salzkammergut  ,2062,1544,74.879999999999995,40,2.5899999999999999,1504,97.409999999999997,650,43.219999999999999,473,31.449999999999999,153,10.17,105,6.9800000000000004,44,2.9300000000000002,16,1.0600000000000001,63,4.1900000000000004,1-10-06,5:52:15 PM,2-10-06,7:21:59 AM
40718,Traunkirchen                  ,1338,1050,78.480000000000004,31,2.9500000000000002,1019,97.049999999999997,399,39.159999999999997,324,31.800000000000001,91,8.9299999999999997,124,12.17,28,2.75,11,1.0800000000000001,42,4.1200000000000001,1-10-06,4:57:58 PM,2-10-06,7:25:12 AM
40719,Scharnstein                   ,3508,2816,80.269999999999996,90,3.2000000000000002,2726,96.799999999999997,934,34.259999999999998,1059,38.850000000000001,334,12.25,237,8.6899999999999995,54,1.98,17,0.62,91,3.3399999999999999,1-10-06,6:28:30 PM,1-10-06,6:28:30 PM
40720,Vorchdorf                     ,5316,4302,80.930000000000007,124,2.8799999999999999,4178,97.120000000000005,1393,33.340000000000003,1531,36.640000000000001,613,14.67,399,9.5500000000000007,88,2.1099999999999999,19,0.45000000000000001,135,3.23,1-10-06,4:52:46 PM,1-10-06,6:29:23 PM
40800,Bezirk Grieskirchen                  ,47193,37643,79.760000000000005,1011,2.6899999999999999,36632,97.310000000000002,15990,43.649999999999999,10442,28.510000000000002,4995,13.640000000000001,3035,8.2899999999999991,885,2.4199999999999999,249,0.68000000000000005,1036,2.8300000000000001,1-10-06,5:13:01 PM,1-10-06,5:13:01 PM
40801,Aistersheim                   ,608,482,79.280000000000001,9,1.8700000000000001,473,98.129999999999995,237,50.109999999999999,108,22.829999999999998,76,16.07,29,6.1299999999999999,11,2.3300000000000001,2,0.41999999999999998,10,2.1099999999999999,1-10-06,1:16:01 PM,1-10-06,1:16:01 PM
40802,Bad Schallerbach              ,2558,2031,79.400000000000006,56,2.7599999999999998,1975,97.239999999999995,711,36,695,35.189999999999998,253,12.81,201,10.18,39,1.97,11,0.56000000000000005,65,3.29,1-10-06,4:08:36 PM,1-10-06,4:08:36 PM
40803,Bruck-Waasen                  ,1759,1370,77.890000000000001,30,2.1899999999999999,1340,97.810000000000002,725,54.100000000000001,300,22.390000000000001,162,12.09,91,6.79,28,2.0899999999999999,7,0.52000000000000002,27,2.0099999999999998,1-10-06,3:56:17 PM,1-10-06,3:56:17 PM
40804,Eschenau im Hausruckkreis     ,863,734,85.049999999999997,24,3.27,710,96.730000000000004,405,57.039999999999999,112,15.77,105,14.789999999999999,46,6.4800000000000004,10,1.4099999999999999,10,1.4099999999999999,22,3.1000000000000001,1-10-06,2:00:50 PM,1-10-06,2:00:50 PM
40805,Gallspach                     ,1812,1356,74.829999999999998,26,1.9199999999999999,1330,98.079999999999998,436,32.780000000000001,458,34.439999999999998,250,18.800000000000001,114,8.5700000000000003,31,2.3300000000000001,10,0.75,31,2.3300000000000001,1-10-06,4:27:57 PM,1-10-06,4:27:57 PM
40806,Gaspoltshofen                 ,2751,2063,74.989999999999995,81,3.9300000000000002,1982,96.069999999999993,786,39.659999999999997,592,29.870000000000001,310,15.640000000000001,210,10.6,24,1.21,7,0.34999999999999998,53,2.6699999999999999,1-10-06,1:56:07 PM,1-10-06,1:56:07 PM
40807,Geboltskirchen                ,1036,793,76.540000000000006,18,2.27,775,97.730000000000004,314,40.520000000000003,268,34.579999999999998,89,11.48,63,8.1300000000000008,13,1.6799999999999999,5,0.65000000000000002,23,2.9700000000000002,1-10-06,2:46:50 PM,1-10-06,2:46:50 PM
40808,Grieskirchen                  ,3565,2884,80.900000000000006,70,2.4300000000000002,2814,97.569999999999993,1089,38.700000000000003,863,30.670000000000002,394,14,287,10.199999999999999,85,3.02,16,0.56999999999999995,80,2.8399999999999999,1-10-06,5:13:01 PM,1-10-06,5:13:01 PM
40809,Haag am Hausruck              ,1563,1223,78.25,37,3.0299999999999998,1186,96.969999999999999,427,36,388,32.719999999999999,166,14,123,10.369999999999999,30,2.5299999999999998,1,0.080000000000000002,51,4.2999999999999998,1-10-06,3:12:41 PM,1-10-06,3:12:41 PM
40810,Heiligenberg                  ,521,446,85.599999999999994,14,3.1400000000000001,432,96.859999999999999,289,66.900000000000006,39,9.0299999999999994,60,13.890000000000001,30,6.9400000000000004,10,2.3100000000000001,1,0.23000000000000001,3,0.68999999999999995,1-10-06,1:13:03 PM,1-10-06,1:13:03 PM
40811,Hofkirchen an der Trattnach   ,1085,840,77.420000000000002,28,3.3300000000000001,812,96.670000000000002,364,44.829999999999998,209,25.739999999999998,122,15.02,54,6.6500000000000004,27,3.3300000000000001,9,1.1100000000000001,27,3.3300000000000001,1-10-06,3:11:57 PM,1-10-06,3:11:57 PM
40812,Kallham                       ,1997,1590,79.620000000000005,52,3.27,1538,96.730000000000004,640,41.609999999999999,490,31.859999999999999,217,14.109999999999999,101,6.5700000000000003,49,3.1899999999999999,6,0.39000000000000001,35,2.2799999999999998,1-10-06,3:21:40 PM,1-10-06,3:21:40 PM
40813,Kematen am Innbach            ,983,777,79.040000000000006,18,2.3199999999999998,759,97.680000000000007,278,36.630000000000003,221,29.120000000000001,143,18.84,53,6.9800000000000004,22,2.8999999999999999,13,1.71,29,3.8199999999999998,1-10-06,3:01:23 PM,1-10-06,3:01:23 PM
40814,Meggenhofen                   ,944,813,86.120000000000005,26,3.2000000000000002,787,96.799999999999997,458,58.200000000000003,139,17.66,72,9.1500000000000004,84,10.67,14,1.78,5,0.64000000000000001,15,1.9099999999999999,1-10-06,3:20:45 PM,1-10-06,3:20:45 PM
40815,Michaelnbach                  ,997,793,79.540000000000006,17,2.1400000000000001,776,97.859999999999999,450,57.990000000000002,128,16.489999999999998,86,11.08,52,6.7000000000000002,32,4.1200000000000001,4,0.52000000000000002,24,3.0899999999999999,1-10-06,2:35:58 PM,1-10-06,2:35:58 PM
40816,Natternbach                   ,1808,1458,80.640000000000001,49,3.3599999999999999,1409,96.640000000000001,656,46.560000000000002,403,28.600000000000001,171,12.140000000000001,75,5.3200000000000003,37,2.6299999999999999,21,1.49,46,3.2599999999999998,1-10-06,3:01:13 PM,1-10-06,3:01:13 PM
40817,Neukirchen am Walde           ,1237,1060,85.689999999999998,28,2.6400000000000001,1032,97.359999999999999,549,53.200000000000003,215,20.829999999999998,143,13.859999999999999,62,6.0099999999999998,30,2.9100000000000001,10,0.96999999999999997,23,2.23,1-10-06,3:06:18 PM,1-10-06,3:06:18 PM
40818,Neumarkt im Hausruckkreis     ,1106,871,78.75,20,2.2999999999999998,851,97.700000000000003,272,31.960000000000001,335,39.369999999999997,148,17.390000000000001,49,5.7599999999999998,22,2.5899999999999999,1,0.12,24,2.8199999999999998,1-10-06,4:41:52 PM,1-10-06,4:41:52 PM
40819,Peuerbach                     ,1708,1288,75.409999999999997,34,2.6400000000000001,1254,97.359999999999999,559,44.579999999999998,310,24.719999999999999,171,13.640000000000001,135,10.77,24,1.9099999999999999,15,1.2,40,3.1899999999999999,1-10-06,3:26:11 PM,1-10-06,3:26:11 PM
40820,Pötting                       ,413,373,90.310000000000002,8,2.1400000000000001,365,97.859999999999999,232,63.560000000000002,74,20.27,25,6.8499999999999996,18,4.9299999999999997,3,0.81999999999999995,3,0.81999999999999995,10,2.7400000000000002,1-10-06,1:56:26 PM,1-10-06,1:56:26 PM
40821,Pollham                       ,688,546,79.359999999999999,17,3.1099999999999999,529,96.890000000000001,266,50.280000000000001,94,17.77,66,12.48,47,8.8800000000000008,22,4.1600000000000001,5,0.94999999999999996,29,5.4800000000000004,1-10-06,2:41:12 PM,1-10-06,2:41:12 PM
40822,Pram                          ,1352,1045,77.290000000000006,27,2.5800000000000001,1018,97.420000000000002,396,38.899999999999999,268,26.329999999999998,183,17.98,100,9.8200000000000003,30,2.9500000000000002,9,0.88,32,3.1400000000000001,1-10-06,1:30:42 PM,1-10-06,3:29:52 PM
40823,Rottenbach                    ,791,656,82.930000000000007,22,3.3500000000000001,634,96.650000000000006,257,40.539999999999999,173,27.289999999999999,114,17.98,48,7.5700000000000003,14,2.21,6,0.94999999999999996,22,3.4700000000000002,1-10-06,2:30:53 PM,1-10-06,2:30:53 PM
40824,St.Agatha                     ,1686,1402,83.159999999999997,35,2.5,1367,97.5,765,55.960000000000001,306,22.379999999999999,135,9.8800000000000008,87,6.3600000000000003,30,2.1899999999999999,11,0.80000000000000004,33,2.4100000000000001,1-10-06,4:20:52 PM,1-10-06,4:20:52 PM
40825,St.Georgen bei Grieskirchen   ,851,672,78.969999999999999,22,3.27,650,96.730000000000004,280,43.079999999999998,196,30.149999999999999,80,12.31,54,8.3100000000000005,19,2.9199999999999999,1,0.14999999999999999,20,3.0800000000000001,1-10-06,2:15:44 PM,1-10-06,2:15:44 PM
40826,St.Thomas                     ,341,283,82.989999999999995,7,2.4700000000000002,276,97.530000000000001,156,56.520000000000003,41,14.859999999999999,33,11.960000000000001,23,8.3300000000000001,6,2.1699999999999999,4,1.45,13,4.71,1-10-06,1:12:44 PM,1-10-06,1:12:44 PM
40827,Schlüßlberg                   ,2279,1864,81.790000000000006,43,2.3100000000000001,1821,97.689999999999998,526,28.890000000000001,818,44.920000000000002,219,12.029999999999999,148,8.1300000000000008,52,2.8599999999999999,8,0.44,50,2.75,1-10-06,4:32:07 PM,1-10-06,4:32:07 PM
40828,Steegen                       ,831,620,74.609999999999999,27,4.3499999999999996,593,95.650000000000006,304,51.259999999999998,157,26.48,55,9.2699999999999996,38,6.4100000000000001,12,2.02,1,0.17000000000000001,26,4.3799999999999999,1-10-06,3:01:02 PM,1-10-06,3:01:02 PM
40829,Taufkirchen an der Trattnach  ,1569,1211,77.180000000000007,48,3.96,1163,96.040000000000006,498,42.82,308,26.48,207,17.800000000000001,72,6.1900000000000004,30,2.5800000000000001,13,1.1200000000000001,35,3.0099999999999998,1-10-06,3:31:22 PM,1-10-06,3:31:22 PM
40830,Tollet                        ,651,556,85.409999999999997,10,1.8,546,98.200000000000003,238,43.590000000000003,171,31.32,53,9.7100000000000009,61,11.17,7,1.28,1,0.17999999999999999,15,2.75,1-10-06,2:41:24 PM,1-10-06,2:41:24 PM
40831,Waizenkirchen                 ,2826,2297,81.280000000000001,47,2.0499999999999998,2250,97.950000000000003,1124,49.960000000000001,573,25.469999999999999,218,9.6899999999999995,215,9.5600000000000005,57,2.5299999999999998,13,0.57999999999999996,50,2.2200000000000002,1-10-06,4:08:20 PM,1-10-06,4:08:20 PM
40832,Wallern an der Trattnach      ,2236,1812,81.040000000000006,21,1.1599999999999999,1791,98.840000000000003,605,33.780000000000001,678,37.859999999999999,260,14.52,152,8.4900000000000002,48,2.6800000000000002,8,0.45000000000000001,40,2.23,1-10-06,4:46:14 PM,1-10-06,4:46:14 PM
40833,Weibern                       ,1176,938,79.760000000000005,28,2.9900000000000002,910,97.010000000000005,448,49.229999999999997,231,25.379999999999999,107,11.76,81,8.9000000000000004,9,0.98999999999999999,7,0.77000000000000002,27,2.9700000000000002,1-10-06,3:30:58 PM,1-10-06,3:30:58 PM
40834,Wendling                      ,602,496,82.390000000000001,12,2.4199999999999999,484,97.579999999999998,250,51.649999999999999,81,16.739999999999998,102,21.07,32,6.6100000000000003,8,1.6499999999999999,5,1.03,6,1.24,1-10-06,2:41:33 PM,1-10-06,2:41:33 PM
40900,Bezirk Kirchdorf an der Krems        ,41215,32872,79.760000000000005,750,2.2799999999999998,32122,97.719999999999999,12472,38.829999999999998,11024,34.32,3906,12.16,2773,8.6300000000000008,851,2.6499999999999999,215,0.67000000000000004,881,2.7400000000000002,1-10-06,6:38:36 PM,1-10-06,6:38:36 PM
40901,Edlbach                       ,495,405,81.819999999999993,6,1.48,399,98.519999999999996,201,50.380000000000003,113,28.32,38,9.5199999999999996,25,6.2699999999999996,10,2.5099999999999998,5,1.25,7,1.75,1-10-06,4:45:04 PM,1-10-06,4:45:04 PM
40902,Grünburg                      ,2787,2184,78.359999999999999,59,2.7000000000000002,2125,97.299999999999997,741,34.869999999999997,822,38.68,295,13.880000000000001,134,6.3099999999999996,71,3.3399999999999999,12,0.56000000000000005,50,2.3500000000000001,1-10-06,3:48:44 PM,1-10-06,3:48:44 PM
40903,Hinterstoder                  ,782,591,75.579999999999998,13,2.2000000000000002,578,97.799999999999997,290,50.170000000000002,141,24.390000000000001,75,12.98,40,6.9199999999999999,18,3.1099999999999999,2,0.34999999999999998,12,2.0800000000000001,1-10-06,3:39:04 PM,1-10-06,3:39:04 PM
40904,Inzersdorf im Kremstal        ,1375,1087,79.049999999999997,31,2.8500000000000001,1056,97.150000000000006,459,43.469999999999999,289,27.370000000000001,133,12.59,106,10.039999999999999,29,2.75,10,0.94999999999999996,30,2.8399999999999999,1-10-06,4:45:51 PM,1-10-06,4:45:51 PM
40905,Kirchdorf an der Krems        ,2955,2395,81.049999999999997,39,1.6299999999999999,2356,98.370000000000005,686,29.120000000000001,921,39.090000000000003,266,11.289999999999999,346,14.69,67,2.8399999999999999,11,0.46999999999999997,59,2.5,1-10-06,5:04:03 PM,1-10-06,5:04:03 PM
40906,Klaus an der Pyhrnbahn        ,839,689,82.120000000000005,15,2.1800000000000002,674,97.819999999999993,167,24.780000000000001,368,54.600000000000001,68,10.09,31,4.5999999999999996,15,2.23,8,1.1899999999999999,17,2.52,1-10-06,3:32:48 PM,1-10-06,3:32:48 PM
40907,Kremsmünster                  ,4583,3567,77.829999999999998,85,2.3799999999999999,3482,97.620000000000005,1460,41.93,984,28.260000000000002,442,12.69,323,9.2799999999999994,109,3.1299999999999999,24,0.68999999999999995,140,4.0199999999999996,1-10-06,4:16:35 PM,1-10-06,4:16:35 PM
40908,Micheldorf in Oberösterreich  ,4387,3501,79.799999999999997,74,2.1099999999999999,3427,97.890000000000001,906,26.440000000000001,1518,44.299999999999997,459,13.390000000000001,340,9.9199999999999999,86,2.5099999999999998,26,0.76000000000000001,92,2.6800000000000002,1-10-06,6:25:17 PM,1-10-06,6:25:17 PM
40909,Molln                         ,2695,2150,79.780000000000001,40,1.8600000000000001,2110,98.140000000000001,728,34.5,877,41.560000000000002,228,10.81,168,7.96,47,2.23,11,0.52000000000000002,51,2.4199999999999999,1-10-06,3:25:57 PM,1-10-06,3:25:57 PM
40910,Nußbach                       ,1717,1434,83.519999999999996,32,2.23,1402,97.769999999999996,729,52,382,27.25,130,9.2699999999999996,87,6.21,25,1.78,13,0.93000000000000005,36,2.5699999999999998,1-10-06,4:46:47 PM,1-10-06,4:46:47 PM
40911,Oberschlierbach               ,362,312,86.189999999999998,2,0.64000000000000001,310,99.359999999999999,135,43.549999999999997,94,30.32,15,4.8399999999999999,50,16.129999999999999,8,2.5800000000000001,1,0.32000000000000001,7,2.2599999999999998,1-10-06,1:16:16 PM,1-10-06,1:16:16 PM
40912,Pettenbach                    ,3499,2775,79.310000000000002,79,2.8500000000000001,2696,97.150000000000006,1080,40.060000000000002,777,28.82,412,15.279999999999999,250,9.2699999999999996,66,2.4500000000000002,35,1.3,76,2.8199999999999998,1-10-06,4:57:36 PM,1-10-06,4:57:36 PM
40913,Ried im Traunkreis            ,1935,1550,80.099999999999994,31,2,1519,98,713,46.939999999999998,355,23.370000000000001,231,15.210000000000001,127,8.3599999999999994,50,3.29,6,0.39000000000000001,37,2.4399999999999999,1-10-06,6:38:08 PM,1-10-06,6:38:08 PM
40914,Rosenau am Hengstpaß          ,533,442,82.930000000000007,7,1.5800000000000001,435,98.420000000000002,133,30.57,213,48.969999999999999,40,9.1999999999999993,17,3.9100000000000001,14,3.2200000000000002,6,1.3799999999999999,12,2.7599999999999998,1-10-06,5:39:20 PM,1-10-06,5:39:20 PM
40915,Roßleithen                    ,1426,1126,78.959999999999994,21,1.8700000000000001,1105,98.129999999999995,432,39.100000000000001,451,40.810000000000002,95,8.5999999999999996,83,7.5099999999999998,18,1.6299999999999999,4,0.35999999999999999,22,1.99,1-10-06,5:25:47 PM,1-10-06,5:25:47 PM
40916,St.Pankraz                    ,265,232,87.549999999999997,5,2.1600000000000001,227,97.840000000000003,62,27.309999999999999,92,40.530000000000001,54,23.789999999999999,4,1.76,8,3.52,0,0,7,3.0800000000000001,1-10-06,1:27:10 PM,1-10-06,1:27:10 PM
40917,Schlierbach                   ,2029,1637,80.680000000000007,43,2.6299999999999999,1594,97.370000000000005,658,41.280000000000001,429,26.91,207,12.99,203,12.74,45,2.8199999999999998,13,0.81999999999999995,39,2.4500000000000002,1-10-06,3:53:21 PM,1-10-06,3:53:21 PM
40918,Spital am Pyhrn               ,1707,1369,80.200000000000003,23,1.6799999999999999,1346,98.319999999999993,485,36.030000000000001,579,43.020000000000003,141,10.48,72,5.3499999999999996,26,1.9299999999999999,7,0.52000000000000002,36,2.6699999999999999,1-10-06,4:36:44 PM,1-10-06,4:36:44 PM
40919,Steinbach am Ziehberg         ,641,510,79.560000000000002,9,1.76,501,98.239999999999995,237,47.310000000000002,130,25.949999999999999,69,13.77,42,8.3800000000000008,5,1,4,0.80000000000000004,14,2.79,1-10-06,2:38:04 PM,1-10-06,2:38:04 PM
40920,Steinbach an der Steyr        ,1530,1294,84.579999999999998,28,2.1600000000000001,1266,97.840000000000003,587,46.369999999999997,393,31.039999999999999,151,11.93,67,5.29,39,3.0800000000000001,4,0.32000000000000001,25,1.97,1-10-06,3:39:50 PM,1-10-06,3:39:50 PM
40921,Vorderstoder                  ,619,487,78.680000000000007,5,1.03,482,98.969999999999999,246,51.039999999999999,123,25.52,65,13.49,23,4.7699999999999996,12,2.4900000000000002,2,0.40999999999999998,11,2.2799999999999998,1-10-06,3:11:50 PM,1-10-06,3:11:50 PM
40922,Wartberg an der Krems         ,2184,1710,78.299999999999997,68,3.98,1642,96.019999999999996,793,48.289999999999999,440,26.800000000000001,170,10.35,142,8.6500000000000004,43,2.6200000000000001,3,0.17999999999999999,51,3.1099999999999999,1-10-06,2:44:06 PM,1-10-06,2:44:06 PM
40923,Windischgarsten               ,1870,1425,76.200000000000003,35,2.46,1390,97.540000000000006,544,39.140000000000001,533,38.350000000000001,122,8.7799999999999994,93,6.6900000000000004,40,2.8799999999999999,8,0.57999999999999996,50,3.6000000000000001,1-10-06,6:38:36 PM,1-10-06,6:38:36 PM
41000,Bezirk Linz-Land                     ,98618,77424,78.510000000000005,1505,1.9399999999999999,75919,98.060000000000002,20562,27.079999999999998,33286,43.840000000000003,9552,12.58,7598,10.01,2023,2.6600000000000001,547,0.71999999999999997,2351,3.1000000000000001,1-10-06,7:01:31 PM,2-10-06,3:43:26 PM
41001,Allhaming                     ,776,672,86.599999999999994,12,1.79,660,98.209999999999994,279,42.270000000000003,238,36.060000000000002,53,8.0299999999999994,57,8.6400000000000006,16,2.4199999999999999,2,0.29999999999999999,15,2.27,1-10-06,5:42:26 PM,1-10-06,5:42:26 PM
41002,Ansfelden                     ,10845,8463,78.040000000000006,157,1.8600000000000001,8306,98.140000000000001,1603,19.300000000000001,4121,49.609999999999999,1339,16.120000000000001,662,7.9699999999999998,284,3.4199999999999999,53,0.64000000000000001,244,2.9399999999999999,1-10-06,5:31:26 PM,1-10-06,5:31:26 PM
41003,Asten                         ,4565,3484,76.319999999999993,78,2.2400000000000002,3406,97.760000000000005,632,18.559999999999999,1807,53.049999999999997,442,12.98,248,7.2800000000000002,109,3.2000000000000002,30,0.88,138,4.0499999999999998,1-10-06,5:40:02 PM,1-10-06,6:55:54 PM
