WAHLKREIS,WAHL_DATUM,'SPÖ','ÖVP','GRÜNE','FPÖ'
Mettmach,2019-09-29,172,489,52,390
Schildorn,2019-09-29,104,258,45,102
Taiskirchen im Innkreis,2019-09-29,135,610,151,267
Tumeltsham,2019-09-29,74,349,83,162
Klaffer am Hochficht,2019-09-29,112,321,35,169
Oberkappel,2019-09-29,32,209,12,42
Pfarrkirchen im Mühlkreis,2019-09-29,68,478,69,124
St.Martin im Mühlkreis,2019-09-29,317,924,246,331
Traunkirchen,2019-09-29,175,349,141,78
Scharnstein,2019-09-29,575,790,303,415
Bad Schallerbach,2019-09-29,388,598,214,371
Haag am Hausruck,2019-09-29,200,407,155,200
Pötting,2019-09-29,33,206,16,46
St.Agatha,2019-09-29,142,657,75,232
Edlbach,2019-09-29,52,161,22,51
Grünburg,2019-09-29,419,652,148,389
Kremsmünster,2019-09-29,445,1226,397,519
St.Pankraz,2019-09-29,31,50,13,67
Spital am Pyhrn,2019-09-29,235,421,63,267
Steinbach am Ziehberg,2019-09-29,75,206,38,79
Vorderstoder,2019-09-29,39,219,31,81
Wartberg an der Krems,2019-09-29,234,682,170,260
Windischgarsten,2019-09-29,254,423,96,193
Kronstorf,2019-09-29,534,594,195,296
Garsten,2019-09-29,763,1226,503,547
Pfarrkirchen bei Bad Hall,2019-09-29,277,528,136,226
Ternberg,2019-09-29,424,690,170,320
Steinbach am Attersee,2019-09-29,71,216,56,42
Ungenach,2019-09-29,104,386,132,151
Wolfsegg am Hausruck,2019-09-29,238,344,116,142
Fischlham,2019-09-29,120,312,63,140
Lambach,2019-09-29,314,437,144,281
Sattledt,2019-09-29,235,477,77,318
Goldwörth,2019-09-29,84,210,60,75
Oberneukirchen,2019-09-29,259,761,247,250
Ottensheim,2019-09-29,393,771,674,249
Puchenau,2019-09-29,465,715,511,244
Sonnberg im Mühlkreis,2019-09-29,93,213,75,82
Walding,2019-09-29,505,840,338,233
Attersee,2019-09-29,115,322,132,112
Frankenburg am Hausruck,2019-09-29,660,959,214,616
Mondsee,2019-09-29,152,585,234,207
Nußdorf am Attersee,2019-09-29,50,251,44,93
Brunnenthal,2019-09-29,146,408,101,247
Münzkirchen,2019-09-29,169,676,106,332
Riedau,2019-09-29,215,325,95,200
Jeging                        ,2002-11-24,126,176,18,21
Moosbach                      ,2002-11-24,96,276,24,111
Moosdorf                      ,2002-11-24,338,337,59,78
Hagenberg im Mühlkreis        ,2002-11-24,638,618,161,155
Bezirk Gmunden                       ,2002-11-24,24743,22635,4975,6169
Ebensee                       ,2002-11-24,2822,1636,429,401
Gmunden                       ,2002-11-24,2466,3284,896,831
Grünau im Almtal              ,2002-11-24,540,549,61,159
Gschwandt                     ,2002-11-24,511,726,112,137
Kirchham                      ,2002-11-24,221,697,71,115
St.Pantaleon                  ,2002-11-24,756,662,119,156
Schalchen                     ,2002-11-24,814,778,170,225
Hinzenbach                    ,2002-11-24,495,571,68,108
Braunau am Inn                ,2002-11-24,3807,2803,910,1198
Eggelsberg                    ,2002-11-24,242,584,112,176
Franking                      ,2002-11-24,103,307,25,58
Weilbach                      ,2002-11-24,77,254,12,56
Bezirk Rohrbach                      ,2002-11-24,8799,21338,2109,2785
Helfenberg                    ,2002-11-24,151,408,31,47
Kleinzell im Mühlkreis        ,2002-11-24,311,451,45,71
Neufelden                     ,2002-11-24,191,426,61,53
Oepping                       ,2002-11-24,242,621,60,58
Traunkirchen                  ,2002-11-24,365,522,125,76
Geboltskirchen                ,2002-11-24,312,363,59,98
Kematen am Innbach            ,2002-11-24,237,334,50,111
Rottenbach                    ,2002-11-24,176,317,32,121
St.Georgen bei Grieskirchen   ,2002-11-24,177,332,50,59
St.Thomas                     ,2002-11-24,42,193,17,29
Hinterstoder                  ,2002-11-24,133,306,33,105
Kremsmünster                  ,2002-11-24,1051,1877,243,427
Rosenau am Hengstpaß          ,2002-11-24,247,140,9,36
Spital am Pyhrn               ,2002-11-24,609,617,34,168
Asten                         ,2002-11-24,1878,985,258,365
Leonding                      ,2002-11-24,5742,4692,1532,1310
St.Florian                    ,2002-11-24,1290,1655,354,268
Bezirk Perg                          ,2002-11-24,16365,18052,2484,2944
Langenstein                   ,2002-11-24,983,449,93,97
Rechberg                      ,2002-11-24,109,355,21,15
St.Georgen am Walde           ,2002-11-24,560,688,43,80
Schwertberg                   ,2002-11-24,1671,1014,245,224
Aurolzmünster                 ,2002-11-24,527,671,82,297
Mettmach                      ,2002-11-24,445,677,58,267
Mörschwang                    ,2002-11-24,25,142,13,13
Obernberg am Inn              ,2002-11-24,260,420,55,155
Ort im Innkreis               ,2002-11-24,151,387,27,148
Puchenau                      ,2002-11-24,935,1151,524,292
Schenkenfelden                ,2002-11-24,228,548,65,92
Bezirk Vöcklabruck                   ,2002-11-24,26834,32861,6027,8258
Ampflwang im Hausruckwald     ,2002-11-24,1421,527,117,229
Frankenburg am Hausruck       ,2002-11-24,1217,1225,187,350
Ungenach                      ,2002-11-24,189,491,51,78
Vöcklamarkt                   ,2002-11-24,829,1389,219,255
Weyregg am Attersee           ,2002-11-24,284,488,72,82
Buchkirchen                   ,2002-11-24,999,849,169,224
Pennewang                     ,2002-11-24,83,352,46,51
Sattledt                      ,2002-11-24,420,705,60,166
Schleißheim                   ,2002-11-24,193,273,54,77
Neukirchen an der Vöckla      ,2002-11-24,490,740,123,160
Oberndorf bei Schwanenstadt   ,2002-11-24,280,379,81,121
St.Lorenz                     ,2002-11-24,248,718,95,91
Schlatt                       ,2002-11-24,246,358,62,90
Bezirk Schärding                     ,2002-11-24,9012,18271,1740,4880
Andorf                        ,2002-11-24,980,1363,120,443
Eggerding                     ,2002-11-24,156,478,33,124
Riedau                        ,2002-11-24,441,499,85,164
Schardenberg                  ,2002-11-24,236,882,54,147
Gaflenz                       ,2002-11-24,378,632,62,90
Losenstein                    ,2002-11-24,445,483,73,102
Rohr im Kremstal              ,2002-11-24,227,393,39,67
St.Ulrich bei Steyr           ,2002-11-24,567,1048,173,151
Schiedlberg                   ,2002-11-24,195,505,23,49
Waldneukirchen                ,2002-11-24,363,758,58,164
Weyer-Markt                   ,2002-11-24,673,538,117,115
Gallneukirchen                ,2002-11-24,1333,1425,667,231
Goldwörth                     ,2002-11-24,181,282,52,35
Oberneukirchen                ,2002-11-24,473,1063,174,166
St.Roman                      ,2008-09-28,111,538,19,266
Zell an der Pram              ,2008-09-28,215,490,113,231
Sierning                      ,2008-09-28,2173,1350,388,1010
Ternberg                      ,2008-09-28,592,528,170,329
Haibach im Mühlkreis          ,2008-09-28,140,198,48,75
Reichenthal                   ,2008-09-28,193,373,63,129
Schenkenfelden                ,2008-09-28,180,395,77,149
Steyregg                      ,2008-09-28,1127,598,309,514
Vorderweißenbach              ,2008-09-28,239,584,88,226
Manning                       ,2008-09-28,129,186,40,69
Lichtenau im Mühlkreis        ,2008-09-28,56,161,17,56
Peilstein im Mühlviertel      ,2008-09-28,209,442,33,170
Putzleinsdorf                 ,2008-09-28,118,425,64,147
St.Peter am Wimberg           ,2008-09-28,183,525,81,154
Brunnenthal                   ,2008-09-28,237,352,101,256
Neukirchen bei Lambach        ,2008-09-28,111,220,31,137
Schleißheim                   ,2008-09-28,159,187,74,138
St.Lorenz                     ,2008-09-28,178,485,120,182
Schwanenstadt                 ,2008-09-28,680,487,237,505
Wolfsegg am Hausruck          ,2008-09-28,391,238,108,269
Zell am Moos                  ,2008-09-28,115,343,84,140
Bachmanning                   ,2008-09-28,86,107,26,69
Land Oberösterreich,2008-09-28,264315,232153,85970,165139
Wahlkreis Traunviertel,2008-09-28,52620,39792,15345,26902
Stadt Linz,2008-09-28,40297,17101,14361,18457
Wels,2008-09-28,10280,4628,2984,6186
Eferding                      ,2008-09-28,648,479,188,404
Pregarten                     ,2008-09-28,1124,864,258,550
Unterweitersdorf              ,2008-09-28,414,324,143,187
Burgkirchen                   ,2008-09-28,307,527,115,269
Neukirchen an der Enknach     ,2008-09-28,247,382,78,294
Bezirk Kirchdorf an der Krems        ,2008-09-28,9952,10297,2997,6092
Edlbach                       ,2008-09-28,91,159,21,42
St.Pankraz                    ,2008-09-28,71,28,1,83
Spital am Pyhrn               ,2008-09-28,442,352,53,244
Niederneukirchen              ,2008-09-28,366,455,100,185
Oftering                      ,2008-09-28,440,281,108,227
Rechberg                      ,2008-09-28,97,345,33,49
Ried in der Riedmark          ,2008-09-28,1063,701,198,364
Lohnsburg am Kobernaußerwald  ,2008-09-28,219,487,61,352
Neuhofen im Innkreis          ,2008-09-28,298,412,113,270
Bad Zell                      ,2008-09-28,341,622,204,333
Bad Goisern                   ,2008-09-28,1925,554,298,630
St.Konrad                     ,2008-09-28,165,247,52,96
Michaelnbach                  ,2008-09-28,132,360,35,113
Wippenham                     ,2008-09-28,91,137,21,80
Hofkirchen im Mühlkreis       ,2008-09-28,193,367,90,122
Klaffer am Hochficht          ,2008-09-28,250,257,30,165
St.Aegidi                     ,2008-09-28,121,446,51,251
Senftenbach                   ,2013-09-29,71,137,36,117
Altenfelden                   ,2013-09-29,268,399,90,271
Kollerschlag                  ,2013-09-29,155,395,33,189
Lichtenau im Mühlkreis        ,2013-09-29,60,141,14,63
St.Oswald bei Haslach         ,2013-09-29,74,132,21,62
St.Ulrich im Mühlkreis        ,2013-09-29,49,175,58,56
St.Veit im Mühlkreis          ,2013-09-29,130,312,73,120
Ulrichsberg                   ,2013-09-29,341,655,134,341
Kopfing im Innkreis           ,2013-09-29,146,386,64,324
Suben                         ,2013-09-29,158,203,48,113
Zell an der Pram              ,2013-09-29,122,403,112,227
Bad Hall                      ,2013-09-29,592,605,284,509
Garsten                       ,2013-09-29,977,946,545,729
Rohr im Kremstal              ,2013-09-29,191,225,55,146
Innerschwand                  ,2013-09-29,72,276,70,95
Pilsbach                      ,2013-09-29,102,150,37,56
Fischlham                     ,2013-09-29,163,275,76,171
Holzhausen                    ,2013-09-29,132,118,43,97
Sipbachzell                   ,2013-09-29,190,355,99,279
Thalheim bei Wels             ,2013-09-29,643,648,465,630
Aschach an der Donau          ,2013-09-29,352,252,173,306
Eferding                      ,2013-09-29,597,462,234,429
Fraham                        ,2013-09-29,431,278,136,324
Pregarten                     ,2013-09-29,962,783,321,577
St.Oswald bei Freistadt       ,2013-09-29,529,506,103,342
Unterweitersdorf              ,2013-09-29,416,286,173,246
Steyr             ,2013-09-29,7125,2107,2198,4144
Stadt Wels                          ,2013-09-29,9434,4171,3651,7857
Auerbach                      ,2013-09-29,17,137,20,103
Lochen                        ,2013-09-29,205,507,122,360
Munderfing                    ,2013-09-29,381,449,112,282
Palting                       ,2013-09-29,83,194,51,111
Perwang am Grabensee          ,2013-09-29,81,163,64,106
Roßbach                       ,2013-09-29,116,190,26,149
Waldburg                      ,2013-09-29,207,293,99,133
Bad Ischl                     ,2013-09-29,2177,1257,917,1387
Grünau im Almtal              ,2013-09-29,355,295,98,240
Hallstatt                     ,2013-09-29,199,70,71,58
Obertraun                     ,2013-09-29,209,59,42,53
Ohlsdorf                      ,2013-09-29,769,587,309,642
Waldhausen im Strudengau      ,2013-09-29,522,593,152,348
Antiesenhofen                 ,2013-09-29,133,129,43,118
Eitzing                       ,2013-09-29,84,128,40,92
Reichersberg                  ,2013-09-29,131,250,56,220
Ried im Innkreis              ,2013-09-29,1249,1118,620,1261
Neumarkt im Hausruckkreis     ,2013-09-29,216,165,53,203
St.Thomas                     ,2013-09-29,24,108,43,95
Hinterstoder                  ,2013-09-29,93,164,41,121
Bezirk Linz-Land                     ,2013-09-29,26429,15582,9963,17683
Niederneukirchen              ,2013-09-29,293,416,150,208
Baumgartenberg                ,2013-09-29,164,323,82,265
Bezirk Urfahr-Umgebung               ,2013-09-29,12331,16425,8660,8756
Engerwitzdorf                 ,2013-09-29,1315,1056,823,1002
Feldkirchen an der Donau      ,2013-09-29,947,833,407,564
Gramastetten                  ,2013-09-29,534,1000,398,414
Oberneukirchen                ,2013-09-29,343,685,248,288
Ottenschlag im Mühlkreis      ,2013-09-29,73,111,20,61
Schenkenfelden                ,2013-09-29,175,395,78,171
Steyregg                      ,2013-09-29,908,540,370,499
Vorderweißenbach              ,2013-09-29,204,594,100,211
Ampflwang im Hausruckwald     ,2013-09-29,826,283,127,475
Tiefgraben,2017-10-15,271,815,45,474
Laussa,2017-10-15,194,305,13,235
Losenstein,2017-10-15,294,279,31,230
Haibach im Mühlkreis,2017-10-15,118,208,15,129
Lichtenberg,2017-10-15,384,600,82,262
Puchenau,2017-10-15,728,755,132,420
Attersee,2017-10-15,218,307,28,174
Nebelberg,2017-10-15,99,194,7,72
Peilstein im Mühlviertel,2017-10-15,169,476,15,236
Schwarzenberg am Böhmerwald,2017-10-15,56,148,6,115
Buchkirchen,2017-10-15,638,637,68,740
Gunskirchen,2017-10-15,810,1018,85,1046
Holzhausen,2017-10-15,120,140,10,176
Schalchen,2017-10-15,486,598,46,662
Schwand im Innkreis,2017-10-15,77,228,14,186
Tarsdorf,2017-10-15,147,528,28,316
Alkoven,2017-10-15,1178,834,86,1004
Aschach an der Donau,2017-10-15,355,291,58,311
Prambachkirchen,2017-10-15,320,612,56,563
Scharten,2017-10-15,349,361,42,415
Kaltenberg,2017-10-15,33,263,2,99
Pregarten,2017-10-15,994,990,89,775
Altmünster,2017-10-15,1583,1639,143,1286
Auerbach,2017-10-15,38,139,7,123
Burgkirchen,2017-10-15,252,613,42,438
Gilgenberg am Weilhart,2017-10-15,70,309,7,248
Hochburg-Ach,2017-10-15,261,648,44,323
Kirchberg bei Mattighofen,2017-10-15,80,271,20,214
Luftenberg an der Donau,2017-10-15,848,540,66,661
Windhaag bei Perg,2017-10-15,125,373,22,218
Andrichsfurt,2017-10-15,43,192,9,137
Eberschwang,2017-10-15,473,471,53,658
Kirchdorf am Inn,2017-10-15,53,172,6,116
Mörschwang,2017-10-15,20,102,16,36
Schildorn,2017-10-15,136,239,16,181
Rohrbach,2017-10-15,7326,16575,1251,9695
Gosau,2017-10-15,395,270,11,234
Laakirchen,2017-10-15,1768,1153,100,1360
St.Wolfgang im Salzkammergut,2017-10-15,334,557,26,361
Gallspach,2017-10-15,297,380,42,432
Hofkirchen an der Trattnach,2017-10-15,171,335,19,279
Kematen am Innbach,2017-10-15,148,224,14,321
Pötting,2017-10-15,51,200,7,59
Molln,2017-10-15,568,526,44,593
Rosenau am Hengstpaß,2017-10-15,140,97,0,104
Kirchberg-Thening,2017-10-15,483,355,69,356
Sigharting,2017-10-15,49,222,5,195
Wernstein am Inn,2017-10-15,183,337,13,249
St.Peter am Hart,2019-09-29,194,421,127,179
Ueberackern,2019-09-29,36,130,15,53
Aschach an der Donau,2019-09-29,253,304,148,206
Hartkirchen,2019-09-29,426,940,256,567
Scharten,2019-09-29,245,375,173,292
Kaltenberg,2019-09-29,20,304,11,65
Kefermarkt,2019-09-29,293,492,125,194
Rainbach im Mühlkreis,2019-09-29,300,722,175,183
Unterweitersdorf,2019-09-29,367,396,152,179
Waldburg,2019-09-29,136,331,101,109
Altmünster,2019-09-29,1080,1857,627,721
Bad Goisern am Hallstättersee,2019-09-29,1284,1023,380,584
Helpfau-Uttendorf,2019-09-29,231,631,83,326
Mattighofen,2019-09-29,544,699,201,451
Bad Kreuzen,2019-09-29,91,702,79,175
Pabneukirchen,2019-09-29,130,463,65,177
Waldhausen im Strudengau,2019-09-29,362,706,134,253
Eitzing,2019-09-29,53,191,29,97
Kirchheim im Innkreis,2019-09-29,39,207,29,98
Lohnsburg am Kobernaußerwald,2019-09-29,123,539,90,275
Mörschwang,2019-09-29,12,94,34,25
Ort im Innkreis,2019-09-29,71,258,53,162
St.Marienkirchen am Hausruck,2019-09-29,31,261,51,115
Weilbach,2019-09-29,31,182,26,67
Atzesberg,2019-09-29,35,152,17,65
Kirchberg ob der Donau,2019-09-29,104,277,49,85
Lembach im Mühlkreis,2019-09-29,121,359,62,167
Laakirchen,2019-09-29,1422,1314,446,768
Hofkirchen an der Trattnach,2019-09-29,113,352,87,182
Pram,2019-09-29,127,290,106,225
Schlüßlberg,2019-09-29,439,534,171,281
Inzersdorf im Kremstal,2019-09-29,158,380,125,183
Molln,2019-09-29,447,635,191,359
Ried im Traunkreis,2019-09-29,161,670,123,333
Oftering,2019-09-29,280,395,130,213
Losenstein,2019-09-29,248,290,81,142
Altenberg bei Linz,2019-09-29,332,1197,358,330
Pühret,2019-09-29,59,128,39,72
St.Lorenz,2019-09-29,86,597,130,163
Schlatt,2019-09-29,122,272,79,111
Schörfling am Attersee,2019-09-29,366,487,254,275
Aichkirchen,2019-09-29,20,164,25,65
Buchkirchen,2019-09-29,508,698,235,424
Krenglbach,2019-09-29,353,567,193,318
Offenhausen,2019-09-29,105,358,100,217
Niederthalheim,2019-09-29,63,256,76,106
Oberwang,2019-09-29,44,531,37,182
Ottnang am Hausruck,2019-09-29,434,635,191,456
Pfaffing,2019-09-29,154,333,87,143
St.Peter am Wimberg,2019-09-29,151,575,104,107
St.Ulrich im Mühlkreis,2019-09-29,30,190,51,49
Ulrichsberg,2019-09-29,205,718,129,301
Rohrbach-Berg,2019-09-29,335,1207,351,401
St.Stefan-Afiesl,2019-09-29,76,333,62,107
Adlwang,2019-09-29,113,463,108,174
Stadl-Paura,2019-09-29,503,571,237,548
Haigermoos                    ,2002-11-24,68,187,21,53
Höhnhart                      ,2002-11-24,237,438,31,123
Mining                        ,2002-11-24,229,347,42,94
Ostermiething                 ,2002-11-24,436,847,103,147
Stroheim                      ,2002-11-24,195,676,41,76
Hirschbach im Mühlkreis       ,2002-11-24,207,440,70,48
Kaltenberg                    ,2002-11-24,33,356,9,26
Pierbach                      ,2002-11-24,145,369,24,40
Unterweitersdorf              ,2002-11-24,510,455,97,65
Windhaag bei Freistadt        ,2002-11-24,317,631,41,95
Altmünster                    ,2002-11-24,2126,2557,542,519
Bad Ischl                     ,2002-11-24,3138,2974,762,947
Ohlsdorf                      ,2002-11-24,1237,1066,214,237
Tarsdorf                      ,2002-11-24,205,698,67,128
Weng im Innkreis              ,2002-11-24,247,406,32,142
Fraham                        ,2002-11-24,564,464,92,162
Atzesberg                     ,2002-11-24,26,238,11,19
Haslach an der Mühl           ,2002-11-24,620,720,149,114
Hofkirchen im Mühlkreis       ,2002-11-24,193,554,69,48
Sarleinsbach                  ,2002-11-24,215,1022,63,120
Eschenau im Hausruckkreis     ,2002-11-24,109,467,28,76
Gaspoltshofen                 ,2002-11-24,640,997,161,315
Haag am Hausruck              ,2002-11-24,447,553,85,145
Heiligenberg                  ,2002-11-24,29,341,17,62
Weibern                       ,2002-11-24,224,509,71,89
Klaus an der Pyhrnbahn        ,2002-11-24,359,217,27,79
Steinbach am Ziehberg         ,2002-11-24,135,278,27,74
Vorderstoder                  ,2002-11-24,124,269,15,63
Wilhering                     ,2002-11-24,1144,1461,390,292
Klam                          ,2002-11-24,113,273,14,79
Luftenberg an der Donau       ,2002-11-24,1350,691,189,226
Münzbach                      ,2002-11-24,208,696,27,80
Pabneukirchen                 ,2002-11-24,226,716,33,70
Geiersberg                    ,2002-11-24,84,182,18,40
Kirchheim im Innkreis         ,2002-11-24,87,247,16,65
Pattigham                     ,2002-11-24,101,324,33,51
Peterskirchen                 ,2002-11-24,43,314,31,57
St.Marienkirchen am Hausruck  ,2002-11-24,47,290,16,80
Senftenbach                   ,2002-11-24,97,253,27,67
Attnang-Puchheim              ,2002-11-24,2356,1368,447,520
Atzbach                       ,2002-11-24,140,434,46,92
Frankenmarkt                  ,2002-11-24,671,957,147,204
Gampern                       ,2002-11-24,410,834,137,118
Bezirk Wels-Land                     ,2002-11-24,14226,16113,2853,4688
Gunskirchen                   ,2002-11-24,1267,1326,212,462
Holzhausen                    ,2002-11-24,171,165,27,42
Krenglbach                    ,2002-11-24,724,667,137,185
Sipbachzell                   ,2002-11-24,293,581,77,135
Steinerkirchen an der Traun   ,2002-11-24,248,907,80,127
Pilsbach                      ,2002-11-24,115,220,26,29
Pöndorf                       ,2002-11-24,425,703,67,156
Pühret                        ,2002-11-24,83,213,33,39
Mayrhof                       ,2002-11-24,13,139,5,11
Sigharting                    ,2002-11-24,108,283,20,74
Maria Neustift                ,2002-11-24,205,697,34,68
Alberndorf in der Riedmark    ,2002-11-24,646,1193,202,179
Gramastetten                  ,2002-11-24,740,1631,340,219
Herzogsdorf                   ,2002-11-24,344,929,62,129
Dietach                       ,2008-09-28,526,470,194,260
Schiedlberg                   ,2008-09-28,124,475,23,86
Eidenberg                     ,2008-09-28,200,571,104,151
Oberneukirchen                ,2008-09-28,425,699,248,288
Ottenschlag im Mühlkreis      ,2008-09-28,86,107,19,56
St.Gotthard im Mühlkreis      ,2008-09-28,225,262,98,153
Lenzing                       ,2008-09-28,1374,295,187,811
Mondsee                       ,2008-09-28,323,489,178,276
Nußdorf am Attersee           ,2008-09-28,80,229,44,160
Kollerschlag                  ,2008-09-28,158,377,28,203
Oepping                       ,2008-09-28,175,400,80,168
Pfarrkirchen im Mühlkreis     ,2008-09-28,124,432,54,155
Schlägl                       ,2008-09-28,227,314,55,115
Andorf                        ,2008-09-28,874,881,140,696
Diersbach                     ,2008-09-28,205,365,67,199
Esternberg                    ,2008-09-28,229,676,72,442
Gunskirchen                   ,2008-09-28,978,742,260,783
Pennewang                     ,2008-09-28,83,220,56,94
Thalheim bei Wels             ,2008-09-28,864,774,418,569
Regau                         ,2008-09-28,1084,755,304,847
Unterach am Attersee          ,2008-09-28,209,236,75,115
Weyregg am Attersee           ,2008-09-28,212,285,83,170
Zell am Pettenfirst           ,2008-09-28,168,227,84,133
Gutau                         ,2008-09-28,470,564,154,261
Kefermarkt                    ,2008-09-28,417,411,108,237
Haigermoos                    ,2008-09-28,56,136,32,71
Lengau                        ,2008-09-28,804,512,177,550
Lochen                        ,2008-09-28,220,523,109,291
Munderfing                    ,2008-09-28,435,458,95,265
Pfaffstätt                    ,2008-09-28,139,152,28,100
Roßbach                       ,2008-09-28,152,211,14,141
St.Pantaleon                  ,2008-09-28,533,375,139,318
St.Peter am Hart              ,2008-09-28,336,341,114,264
Neukirchen am Walde           ,2008-09-28,196,440,60,182
Steegen                       ,2008-09-28,131,264,43,83
Waizenkirchen                 ,2008-09-28,482,902,226,310
Grünburg                      ,2008-09-28,730,542,131,441
Klaus an der Pyhrnbahn        ,2008-09-28,324,120,36,106
Ried im Traunkreis            ,2008-09-28,298,575,104,318
Schlierbach                   ,2008-09-28,372,501,232,256
Steinbach an der Steyr        ,2008-09-28,328,473,70,239
Pasching                      ,2008-09-28,1493,624,397,735
Allerheiligen im Mühlkreis    ,2008-09-28,224,272,42,146
Naarn im Machlande            ,2008-09-28,749,746,109,384
St.Thomas am Blasenstein      ,2008-09-28,91,279,22,73
Mettmach                      ,2008-09-28,353,390,52,391
Ort im Innkreis               ,2008-09-28,112,212,33,211
Windhaag bei Freistadt        ,2008-09-28,248,432,63,160
Bezirk Gmunden                       ,2008-09-28,20933,14346,6283,10395
Ebensee                       ,2008-09-28,2164,823,453,686
Obertraun                     ,2008-09-28,246,73,26,49
Ohlsdorf                      ,2008-09-28,935,673,281,548
Grieskirchen                  ,2008-09-28,737,814,267,555
Haag am Hausruck              ,2008-09-28,336,356,112,237
Kematen am Innbach            ,2008-09-28,180,196,48,213
Afiesl                        ,2008-09-28,59,101,20,42
Afiesl                        ,2013-09-29,58,92,18,44
Auberg                        ,2013-09-29,39,162,32,58
Schlägl                       ,2013-09-29,170,266,64,137
Brunnenthal                   ,2013-09-29,209,304,96,288
Eggerding                     ,2013-09-29,103,283,53,190
Engelhartszell                ,2013-09-29,88,184,46,103
Enzenkirchen                  ,2013-09-29,230,270,36,288
St.Florian am Inn             ,2013-09-29,423,423,122,474
St.Marienkirchen bei Schärding,2013-09-29,147,321,69,287
Vichtenstein                  ,2013-09-29,45,122,9,92
Waldkirchen am Wesen          ,2013-09-29,167,307,45,160
Oberndorf bei Schwanenstadt   ,2013-09-29,224,165,94,188
Redleiten                     ,2013-09-29,75,72,18,76
Redlham                       ,2013-09-29,244,213,90,175
Regau                         ,2013-09-29,921,660,435,933
St.Georgen im Attergau        ,2013-09-29,360,527,212,654
Seewalchen am Attersee        ,2013-09-29,742,537,399,768
Ungenach                      ,2013-09-29,121,331,107,175
Edt bei Lambach               ,2013-09-29,306,282,93,314
Pichl bei Wels                ,2013-09-29,364,455,181,418
Hartkirchen                   ,2013-09-29,549,702,258,664
Grünbach                      ,2013-09-29,234,325,95,259
Gutau                         ,2013-09-29,479,556,139,261
Leopoldschlag                 ,2013-09-29,112,290,44,99
Rainbach im Mühlkreis         ,2013-09-29,411,680,129,236
Bezirk Braunau am Inn                ,2013-09-29,12739,15262,5053,13426
Eggelsberg                    ,2013-09-29,190,327,101,325
Handenberg                    ,2013-09-29,103,289,37,190
Mauerkirchen                  ,2013-09-29,240,229,60,259
Pabneukirchen                 ,2013-09-29,194,412,70,187
Windhaag bei Perg             ,2013-09-29,143,345,75,138
Geinberg                      ,2013-09-29,121,210,43,225
Mühlheim am Inn               ,2013-09-29,125,106,23,89
Obernberg am Inn              ,2013-09-29,142,148,59,179
Roitham                       ,2013-09-29,323,288,97,275
Bad Schallerbach              ,2013-09-29,495,472,225,485
Gaspoltshofen                 ,2013-09-29,399,517,188,554
Kematen am Innbach            ,2013-09-29,141,186,55,234
Michaelnbach                  ,2013-09-29,103,314,54,139
Neukirchen am Walde           ,2013-09-29,168,391,77,227
Peuerbach                     ,2013-09-29,228,419,140,260
Pollham                       ,2013-09-29,75,199,85,94
Pettenbach                    ,2013-09-29,619,764,277,683
Rosenau am Hengstpaß          ,2013-09-29,149,80,21,98
Roßleithen                    ,2013-09-29,314,284,69,228
Hargelsberg                   ,2013-09-29,188,240,78,159
Neuhofen an der Krems         ,2013-09-29,870,695,421,558
Wilhering                     ,2013-09-29,863,812,574,556
Allerheiligen im Mühlkreis    ,2013-09-29,221,231,58,144
Katsdorf                      ,2013-09-29,519,465,227,282
Bad Kreuzen                   ,2013-09-29,160,664,71,257
Langenstein                   ,2013-09-29,658,237,119,260
Alberndorf in der Riedmark    ,2013-09-29,461,745,286,518
Lichtenberg                   ,2013-09-29,332,516,312,228
Reichenthal                   ,2013-09-29,197,344,88,133
Attersee                      ,2013-09-29,226,259,129,153
Fornach                       ,2013-09-29,65,247,46,135
St.Lorenz,2017-10-15,164,550,43,321
Schörfling am Attersee,2017-10-15,497,461,65,514
Straß im Attergau,2017-10-15,114,321,17,292
Sierning,2017-10-15,1790,1347,99,1540
Altenberg bei Linz,2017-10-15,534,1243,118,503
Gramastetten,2017-10-15,647,1127,135,561
Oberneukirchen,2017-10-15,351,752,93,457
Vorderweißenbach,2017-10-15,186,622,35,301
Zwettl an der Rodl,2017-10-15,237,408,73,201
Niederkappel,2017-10-15,67,306,11,169
Andorf,2017-10-15,666,992,64,1131
Freinberg,2017-10-15,103,292,13,165
Wolfsegg am Hausruck,2017-10-15,301,300,40,282
Zell am Moos,2017-10-15,108,361,17,205
Steinerkirchen an der Traun,2017-10-15,194,600,49,404
Weißkirchen an der Traun,2017-10-15,494,596,38,576
Munderfing,2017-10-15,329,525,32,500
Pfaffstätt,2017-10-15,116,181,14,167
Hinzenbach,2017-10-15,300,380,20,364
Pupping,2017-10-15,271,336,33,335
St.Marienkirchen an d. Polsenz,2017-10-15,338,430,43,435
Leopoldschlag,2017-10-15,102,280,17,160
Liebenau,2017-10-15,192,472,7,253
Pierbach,2017-10-15,93,227,22,212
Wartberg ob der Aist,2017-10-15,812,698,104,619
Linz und Umgebung,2017-10-15,67233,46210,8686,46052
Eggelsberg,2017-10-15,171,427,56,423
Höhnhart,2017-10-15,110,284,3,256
Mauerkirchen,2017-10-15,255,253,20,364
Kronstorf,2017-10-15,636,521,38,551
Arbing,2017-10-15,219,303,24,215
Katsdorf,2017-10-15,563,564,74,412
